Intervention_ID,Tag,Misinfo,Misinfo_Answer,Trust,TrustScore,Child,Gender,Race,BreastCancer,Familiarity,General,Correct,CorrectUnsure,Adherence,AdherenceUnsure ,Unsure,Participant_ID
Baseline,rsv,True,True,False,2,False,Female,2 or more races,False,True,False,0,0,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,cosleep,False,False,False,2,False,Female,2 or more races,False,True,True,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,hrt,True,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,rsv_2,True,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,texas,True,True,False,2,False,Female,2 or more races,False,True,False,0,0,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,formula_2,True,True,False,2,False,Female,2 or more races,False,True,False,0,0,0,0,0,65cac318bd0e8c7c1e27d5fd
Baseline,cosleep_2,False,False,False,2,False,Female,2 or more races,False,True,False,0,1,0,1,1,65cac318bd0e8c7c1e27d5fd
Baseline,formula,True,True,False,2,False,Female,2 or more races,False,True,False,0,0,0,0,0,65cac318bd0e8c7c1e27d5fd
Baseline,hrt_2,True,True,False,2,False,Female,2 or more races,False,True,False,0,0,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,papsmear,False,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,papsmear_2,False,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,mammogram,False,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,IUD,False,False,False,3,False,Female,2 or more races,False,True,True,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,IUD_2,False,False,False,3,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,breastfeed,False,False,False,2,False,Female,2 or more races,False,True,True,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,breastfeed_2,False,False,False,2,False,Female,2 or more races,False,True,False,1,1,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,lung,True,True,False,1,False,Female,2 or more races,False,True,False,0,0,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,lung_2,True,True,False,1,False,Female,2 or more races,False,True,False,0,0,1,1,0,65cac318bd0e8c7c1e27d5fd
Baseline,rsv,True,True,True,4,True,Female,White,True,True,False,0,1,0,1,1,626810ad271afa9ad1c19e33
Baseline,cosleep,False,False,True,4,True,Female,White,True,True,True,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,hrt,True,False,True,4,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,rsv_2,True,False,True,4,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,texas,True,True,False,3,True,Female,White,True,True,False,0,1,0,1,1,626810ad271afa9ad1c19e33
Baseline,formula_2,True,True,True,4,True,Female,White,True,True,False,0,0,1,1,0,626810ad271afa9ad1c19e33
Baseline,cosleep_2,False,False,True,4,True,Female,White,True,True,False,0,0,0,0,0,626810ad271afa9ad1c19e33
Baseline,formula,True,True,True,4,True,Female,White,True,True,False,0,0,1,1,0,626810ad271afa9ad1c19e33
Baseline,hrt_2,True,True,True,4,True,Female,White,True,True,False,0,1,0,1,1,626810ad271afa9ad1c19e33
Baseline,papsmear,False,False,True,4,True,Female,White,True,True,False,0,0,0,0,0,626810ad271afa9ad1c19e33
Baseline,papsmear_2,False,False,True,4,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,mammogram,False,False,False,3,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,IUD,False,False,True,4,True,Female,White,True,True,True,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,IUD_2,False,False,True,4,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,breastfeed,False,False,True,4,True,Female,White,True,True,True,0,0,0,0,0,626810ad271afa9ad1c19e33
Baseline,breastfeed_2,False,False,True,4,True,Female,White,True,True,False,1,1,1,1,0,626810ad271afa9ad1c19e33
Baseline,lung,True,True,True,4,True,Female,White,True,True,False,0,1,0,1,1,626810ad271afa9ad1c19e33
Baseline,lung_2,True,True,True,4,True,Female,White,True,True,False,1,1,0,0,0,626810ad271afa9ad1c19e33
Baseline,rsv,True,True,True,4,True,Female,White,True,False,False,0,0,1,1,0,65ca4be949cccdf18554e14d
Baseline,cosleep,False,False,False,2,True,Female,White,True,False,True,0,0,0,0,0,65ca4be949cccdf18554e14d
Baseline,hrt,True,False,False,2,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,rsv_2,True,False,True,4,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,texas,True,True,False,2,True,Female,White,True,False,False,0,0,1,1,0,65ca4be949cccdf18554e14d
Baseline,formula_2,True,True,False,3,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,cosleep_2,False,False,False,2,True,Female,White,True,False,False,0,0,0,0,0,65ca4be949cccdf18554e14d
Baseline,formula,True,True,False,3,True,Female,White,True,False,False,0,0,1,1,0,65ca4be949cccdf18554e14d
Baseline,hrt_2,True,True,False,2,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,papsmear,False,False,False,2,True,Female,White,True,False,False,0,0,0,0,0,65ca4be949cccdf18554e14d
Baseline,papsmear_2,False,False,False,2,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,mammogram,False,False,True,4,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,IUD,False,False,False,1,True,Female,White,True,False,True,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,IUD_2,False,False,False,1,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,breastfeed,False,False,True,5,True,Female,White,True,False,True,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,breastfeed_2,False,False,True,5,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,lung,True,True,False,2,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,lung_2,True,True,False,2,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,rsv,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,cosleep,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,hrt,True,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,rsv_2,True,False,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,texas,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,formula_2,True,True,False,3,True,Female,Asian,True,True,False,1,1,0,0,0,63cfff59a184313f875f6a06
Baseline,cosleep_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,formula,True,True,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,hrt_2,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,papsmear,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,papsmear_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,mammogram,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,IUD,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,IUD_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,breastfeed,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,breastfeed_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,lung,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,lung_2,True,True,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,rsv,True,True,True,4,False,Female,White,True,True,False,0,0,1,1,0,6535874da4c41c6b75cd8645
Baseline,cosleep,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,hrt,True,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,rsv_2,True,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,texas,True,True,False,3,False,Female,White,True,True,False,0,0,1,1,0,6535874da4c41c6b75cd8645
Baseline,formula_2,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,cosleep_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,formula,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,hrt_2,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,papsmear,False,False,True,4,False,Female,White,True,True,False,0,0,0,0,0,6535874da4c41c6b75cd8645
Baseline,papsmear_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,mammogram,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,IUD,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,IUD_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,breastfeed,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
